objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,rcg001.jpg,,,Game of Robinson Crusoe box cover (front),Parker Brothers,1895,"The front box cover of ""Game of Robinson Crusoe.""",,"Salem, Massachussets",,,"Elizabeth Nesbitt Collection, University of Pittsburgh Library Archives and Special Collections",OCLC : (OCoLC)1393224498,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,rcg002.jpg,,,Game of Robinson Crusoe box cover (back),Parker Brothers,1895,"The back box cover of ""Game of Robinson Crusoe"" where a former owner had written her name.",,"Salem, Massachussets",,,"Elizabeth Nesbitt Collection, University of Pittsburgh Library Archives and Special Collections",OCLC : (OCoLC)1393224498,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,rcg003.jpg,,,Robinson Crusoe card,Parker Brothers,1895,"The Robinson Crusoe card included in the ""Game of Robinson Crusoe."" Havng this card in hand, along with the Friday and Rescue Ship cards is part of the game's win condition.",,"Salem, Massachussets",,,"Elizabeth Nesbitt Collection, University of Pittsburgh Library Archives and Special Collections",OCLC : (OCoLC)1393224498,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,rcg004.jpg,,,Friday card,Parker Brothers,1895,"The Friday card included in the ""Game of Robinson Crusoe.""",,"Salem, Massachussets",,,"Elizabeth Nesbitt Collection, University of Pittsburgh Library Archives and Special Collections",OCLC : (OCoLC)1393224498,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,rcg005.jpg,,,Rescue Ship card,Parker Brothers,1895,"The Rescue Ship card included in the ""Game of Robinson Crusoe.""",,"Salem, Massachussets",,,"Elizabeth Nesbitt Collection, University of Pittsburgh Library Archives and Special Collections",OCLC : (OCoLC)1393224498,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,rcg006.jpg,,,Friday’s Father card,Parker Brothers,1895,"One of two Friday's Father cards included in the ""Game of Robinson Crusoe.""",,"Salem, Massachussets",,,"Elizabeth Nesbitt Collection, University of Pittsburgh Library Archives and Special Collections",OCLC : (OCoLC)1393224498,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,rcg007.jpg,,,Cannibal card,Parker Brothers,1895,"One of two Cannibal cards included in the ""Game of Robinson Crusoe.""",,"Salem, Massachussets",,,"Elizabeth Nesbitt Collection, University of Pittsburgh Library Archives and Special Collections",OCLC : (OCoLC)1393224498,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,rcg008.jpg,,,Ship Captain card,Parker Brothers,1895,"One of two Ship Captain cards included in the ""Game of Robinson Crusoe.""",,"Salem, Massachussets",,,"Elizabeth Nesbitt Collection, University of Pittsburgh Library Archives and Special Collections",OCLC : (OCoLC)1393224498,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,rcg009.jpg,,,Spaniard card,Parker Brothers,1895,"One of two Spaniard cards included in the ""Game of Robinson Crusoe.""",,"Salem, Massachussets",,,"Elizabeth Nesbitt Collection, University of Pittsburgh Library Archives and Special Collections",OCLC : (OCoLC)1393224498,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,rcg010.jpg,,,Mutineer card,Parker Brothers,1895,"One of two Mutineer cards included in the ""Game of Robinson Crusoe"".",,"Salem, Massachussets",,,"Elizabeth Nesbitt Collection, University of Pittsburgh Library Archives and Special Collections",OCLC : (OCoLC)1393224498,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
